location,attributes,descrip
"Hybrid remote in Vancouver, BC",Full-time,"Your Opportunity at ARC-TERYX:As an Intermediate Web Applications Developer you develop, deploy, analyze, utilize, and maintain software, tools, applications, and information systems in order to meet the business requirements of the company in a demanding global marketplace. Your focus in this role is on web applications development for the customer facing Ecommerce websites. You have a track record of delivering projects as part of an agile team. You work with senior developers and web architects to design and understand project architectures.
This role is primarily based out of our North Vancouver office and is open to hybrid remote work. Candidates must be eligible to work in Canada.
Meet Your Future Team:
The omni channel application developer team builds arcteryx.com and outlet.arcteryx.com. We work with cross-functional agile squads to build and roll out new features, fix bugs and create an amazing online experience for our guests.
If you were the Intermediate Web Applications Developer now, here are some of the core activities you would be doing:
Developing, maintaining, supporting, and extending web and web services applications across a range of technology stacks
Helping to maintain and monitor the web servers and its assets through AWS
Following existing DevOps practices, including peer code reviews, automated testing, continuous integration & continuous deployment setup
Providing high levels of service to a diverse user base and team members alike by delivering strong, effective solutions and communicating clearly
Executing special project work as part of an Agile team
Evaluating system requirements and refine technical specifications by efficient analysis of business systems, software source code, data patterns, and existing documentation
Contributing to a team development effort by documenting your code, contributing to style guides, and working in close coordination with various team associates
Here are some of the things you could be working on in the future:
Building and delivering maintainable, high-quality software to support the growth and maintenance of a best-in-class ecommerce experience
Completely re-writing the website-s frontend in React using a shared Storybook component library deployed with Lerna
Building microservices in AWS lambda to connect and integrate across channels and systems
Pivoting our technology stack and user experiences if the need arises
Are you our next Intermediate Web Applications Developer?
You have 4+ years relevant experience with at least 2+ years- experience with full stack development in an Agile/Scrum environment
You have experience integrating with 3rd party APIs, headless CMS solutions and analytics suites
You have knowledge of Isomorphic Node.js frameworks (Next.js + React preferred)
You have experience with Node.JS bundlers and transpilers (Webpack and Babel)
You have working knowledge of JavaScript, HTML, and CSS best practices
You have experience working with cloud computing providers, container solutions, and CI/CD pipelines
You have experience writing and maintaining automated, visual-regression, or unit tests
You have proven ability to translate approved UI/UX design mock-ups to feature-rich, pixel-perfect websites and web applications
You have experience writing and maintaining automated, visual-regression, or unit tests
You have a good understanding of SEO best practices, web development best practices, web accessibility and common design patterns
You have experience integrating GraphQL
You have experience with Docker and knowledge of Micro Services concepts and architecture
You have DevOps experience with Continuous Integration (CI) and Continuous Delivery (CD)
You have experience with CDN implementation and management
You have exceptional communication, problem solving, and documentation skills
You are proactive in identifying the root cause of issues and developing solutions
You remain highly flexible and adaptable when faced with ambiguity
You are able to balance autonomy and collaboration
You inspire breakthrough thinking and continuous improvement
You seek the best (but sometimes not the easiest) solutions, with an unwavering commitment
Your passion for your work is paralleled by your passion for getting outside and living it
Equal Opportunity

Arc-teryx is committed to actively creating and fostering a culture of inclusivity where voices are heard, people are seen, and values are respected. We care about the uniqueness of our applicants, employees, and guests, and we do so in a safe space fueled by curiosity and acceptance.

Creating an inclusive workplace is connected to our core value Do Right while also having the added benefit of helping make our business better. We believe inclusion helps us to create a healthier, happier workplace, drive creativity and innovation, and reflect the communities where we operate.

All applicants, employees, and guests can expect equality of opportunity and fair treatment in alignment with our values.

Design your Purpose. Live our Values.
DISRUPTIVE EVOLUTION. Design your future through challenge, experimentation, and inspiration.
COMMIT. Set and deliver on bold objectives as we collectively raise the bar.
LIVE IT. Deepen your connection to nature and live your most purposeful life.
LEAVE IT BETTER. Create a better world, together."
"Burnaby, BC",Full-time,"Algo Communication Products Ltd. is an innovative company developing and manufacturing unique products primarily for the business telephone industry. We are looking for a talented, energetic individual with a dedication to quality to join our team in Burnaby, B.C.
*1 Year Contract with possibility of extension*
Responsibilities:
- Design and implement automated test scripts for React web applications under various browsers
- Create detailed, comprehensive, and well-structured test plans and test cases
- Maintain and keep test scripts up-to-date while new features are being added
- Create and maintain documentation for automated test scripts
Qualifications
- BSc in Computer Science or related field, or relevant work experience in a matching position
- 3+ years of experience in QA test automation
- Professional experience with Selenium
- Experience with scripting test suites for web applications using automated testing frameworks (e.g. TestCafe, Selenium, Jest, Puppeteer, etc.)
- Experience evaluating processes and implementing best practices
- Experience with React
- Experience with various web stack-related languages (e.g. PHP, Javascript, HTML, CSS, SQL)
- Experience writing and reviewing unit and feature tests
Job Type: Full-time"
"Hybrid remote in Victoria, BC","$80,673-$104,939 a year","Organizational Unit
University of Victoria -> VP Finance and Operations -> University Systems
Location
University of Victoria - Victoria, BC V8W 2Y2 CA (Primary)
Posting Close Date
28 August 2023
Please note that positions will close at 4 p.m. on the closing date.
FTE
1.0
Salary Grade
$80,673.00 - $104,939.00
Additional Posting Information
N/A
Salary posted will be pro-rated based on FTE
Classification
SG13
Employee Group:
PEA - Regular
# of Hires Needed
2
Category
Computers, Software, Information Technology
About this Opportunity
* Two positions available*
The Development Services team within University Systems is looking for a talented Senior Software Developer to join a diverse team working on a wide variety of applications that support cutting edge research, teaching excellence and administration for UVic students, faculty and staff. This opportunity is with the Enterprise Applications team, which is responsible for maintenance of many of UVic's enterprise resource planning, research and student information system solutions, and development of student-facing web applications.
This position will primarily support the ongoing development of the Research Administration System (RAIS), which is a joint venture between University Systems and the Office of Research Services and is built on the Grails framework. This position may also be responsible for custom software development on other projects as needed, including support for requirements gathering, technical design, coordinating changes with clients and documenting product specifications.
Our preferred candidate should have:
Strong proficiency with Java and Groovy development
Experience working with Grails or a related framework
Excellent knowledge of JavaScript, HTML, and CSS
Knowledge of unit, integration, functional and security testing methodologies, tools and best practices
Solid understanding of SQL and data modelling, and experience working with Oracle databases and relational database design
Solid understanding of JSON, XML, and REST services


Familiarity with WCAG 2.0 standards and applying principles of accessible design to web application development would be considered a strong asset. Experience with Node.js, Vue.js, or PL/SQL development would also be an asset.
The salary range for this position is:
Recruitment range: $80,673- $88,956 starting salary determined by the PEA Collective Agreement.
Performance range: starting salary to max of $104,939 is available through annual performance increases.
* This position is eligible for a Remote/Hybrid Work Arrangement*
Job Summary
University Systems (http://www.uvic.ca/systems/) serves a diverse client base including students, faculty and world-renowned researchers. We consist of three major units: Academic & Administrative Services, Infrastructure Services, and UVic Online, all working together to provide computing, communications and technology in support of the university's learning, teaching, research and administrative activities. We support high profile research projects like VENUS, NEPTUNE and ATLAS and work as part of the BCNET consortium. We exist in a complex work environment where we must effectively navigate complex, cutting edge and ever-changing technology, and information security and privacy issues in order to be the best information systems organization in the Canadian university system.
The UVic Online department within University Systems at the University of Victoria plays a pivotal role in implementing new enterprise-wide software systems, continuously improving existing systems, and providing University-wide data stewardship. We are a dynamic team which continues to implement exciting and powerful software systems - systems which have enabled UVic to become one of the most technologically advanced and well integrated universities in North America.
Reporting to the Team Lead Development Services, the Senior Software Developer is responsible for providing senior technical leadership within UVic Online. This position takes a lead role in the analysis, design, development, maintenance, and support of enterprise information systems for the University of Victoria, including:
core administrative systems (ERP) and business applications,
academic systems,
web sites and applications,
enterprise reporting, and
identity management.


Functions include: project management, in-depth analysis and investigation of business/functional requirements, development, maintenance and enhancement of information systems and the creation of related documentation related to the implementation of information systems. Consults with and trains technical and functional staff on the use of enterprise information systems.
Job Requirements
This position requires a Bachelor's Degree in Computer Science or other relevant discipline plus several years of experience in the development and maintenance of complex and integrated system in a large enterprise environment.
An equivalent combination of education and experience may be considered.
Specialized knowledge requirements include:
Expert knowledge of:
Modern programming languages and frameworks
Software testing procedures and frameworks
Modern technical architectures and configuration
Supporting and maintaining enterprise scale software
Familiarity with project management processes


In addition, this position requires:
Ability to be an enthusiastic and resourceful team member, with excellent interpersonal and communication skills (written and oral) in order to interact effectively with colleagues, staff and vendors in a client-oriented environment.
Ability to successfully contribute to complex projects: developing project work plans; monitoring and directing the activities of a project team
Willingness and ability to acquire new computing and other related skills independently
Ability to successfully lead, mentor and coach technical staff
Ability to problem solve effectively
Ability to write coherent technical and user documentation
Ability to work in an effective and organized manner in a complex environment


Preferences:
Familiarity with higher education business processes would be considered an asset.
Territory acknowledgement
We acknowledge and respect the l??k??????????n peoples on whose traditional territory the university stands and the Songhees, Esquimalt and W??S??NE?? peoples whose historical relationships with the land continue to this day.
Equity and Diversity Statement
UVic is committed to upholding the values of equity, diversity, and inclusion in our living, learning and work environments. In pursuit of our values, we seek members who will work respectfully and constructively with differences and across levels of power. We actively encourage applications from members of groups experiencing barriers to equity.
Read our full equity statement here: www.uvic.ca/equitystatement.
Accessibility Statement
If you anticipate needing accommodations for any part of the application and hiring process contact: uviccareers@uvic.ca Any personal information provided will be maintained in confidence."
"Hybrid remote in Vancouver, BC
+1 location",Full-time,"Arcurve is one of North America-s leading full-service technology, advisory and software development companies. In 2006, we began with a belief that there was a better way to deliver professional services in the technology industry. Since then, we have completed more than 800 projects for clients ranging from start-ups to Fortune 500 companies. From our office in Calgary and hubs in Halifax, Houston and Vancouver we deliver exceptional results for our clients in a diverse range of industries including telecommunications, oil and gas, transportation, private equity, gaming, infrastructure, software, financial and hospitality.

At Arcurve, we believe that work should be an enjoyable experience, and that the best -aha- moments come through team learning and continuous motivation. We know the key to success is collaboration, and that you can-t put a value on accountable, transparent, and authentic interactions. We strive to deliver exceptional service while creating lasting relationships with our employees, our students, our clients, and our community.

We-re looking for an authentic, collaborative, accountable and skilled Full Stack Web Developer to join the Arcurve team.

YOU ARE
Passionate about technology
An authentic and creative human
Driven to succeed
A believer in the importance of teamwork
Community-minded
An expert problem solver
Someone who thrives on challenge
Motivated by exceptional results
Someone who cares about your clients
THE GOAL

To deliver best in class JavaScript, CSS, HTML5, ASP.NET MVC code across a broad array of interactive web applications with a strong eye to create a rich user experience for our clients.

THE RESPONSIBILITIES

Design, develop and implement business functionality into web based solutions
Identify performance improvement areas for clients, present recommendations and perform rapid mock ups that you can translate into front-end code
Use your familiarity with API creation and RESTful services along with your solid foundation in data structures, algorithms and system design to develop modern responsive web sites that work across multiple browsers and platforms
Collaborate with our multidisciplinary client services team and manage your time across multiple projects in a results driven environment
React to shifting priorities in a productive manner with a client services focus
THE REQUIREMENTS

Previous experience as a Full Stack Web Developer in a client-facing role
Experience integrating front end and back end aspects of web application while considering issues such as scalability and security (C#. .NET, PHP, Python, Ruby, JavaScript, tooling including React, Angular, Node, SQL and Azure)
Collaborative team player
THE PERKS
A fun work atmosphere that values equity, diversity and inclusion
Competitive salary plus flexible health & wellness benefits
Hybrid work environment and flexible scheduling
Contract or permanent employment agreements - your choice!
A convenient, central location in Calgary but open to remote from anywhere in Canada
Check out this video from Charlotte to learn more about what it-s like to work as a Full Stack Web Developer at Arcurve."
"Hybrid remote in Burnaby, BC",Fixed term contract,"Since 1994, Navitas has been a respected leader in global higher education. As pioneers in the university pathway sector, we have trusted partnerships with more than 30 forward-thinking universities in Australia, New Zealand, United States, Canada, United Kingdom, The Netherlands, United Arab Emirates, Singapore, and Sri Lanka. We provide our partners with access to resources and expertise to help drive large-scale initiatives that provide tangible, lasting benefits to students, faculty, staff, and local communities.

Navitas is seeking to employ a Front End Web Developer to join our North American team in Burnaby, BC (Hybrid) on a 1-year contract.

The Front End Web Developer is responsible for providing high quality customer services to all Navitas North America based businesses and divisions reporting to Software Developer, North America. Amongst other responsibilities, duties include developing web/services, documenting, and maintaining online services.

Key Responsibilities
Development, analysis, and testing of web application interfaces and supporting services.
Integration and deployment of front-end applications and tools.
Documenting and maintaining a library of processes and guides.
Contributing to Navitas projects as required.
Performing other duties as assigned.

Essential Skills, Knowledge, and Experience
A Bachelor's Degree in Computer Science, Engineering, or similar field.
3+ years- experience in a development role.
Minimum of 3+ years- experience in React
Experience in Bootstrap, Figma, SASS/LESS
Strong expertise in HTML5, CSS, JavaScript, jQuery
Working knowledge of Git
Proficiency in Web Services standards and technologies (XML, SOAP, WSDL, REST, JSON etc.).
Working Knowledge of RESTful web services
High degree of experience with contentment management systems (WordPress, Drupal, etc.)
Solid analytical, problem solving and decision-making skills.
Ability to present a portfolio upon request.
Desirable Skills
Experience in Photoshop, Illustrator, Adobe XD etc. considered an asset.
Experience in MSSQL and MySQL nice to have.
Experience in AWS or Azure a strong plus.
Experience working in a distributed office environment, domestically or regionally.

What We Offer
Navitas is an equal opportunity employer committed to fostering an inclusive, accessible environment, where all employees feel valued, respected, and supported. We are dedicated to building a workforce that reflects the diversity of our students and communities in which we live and serve. If you require an accommodation during any stage of the recruitment process, please let us know and we will work with you to meet your needs.

What We Require
Successful applicants will be subject to relevant pre-employment checks, which includes criminal background and professional reference checks."
"Burnaby, BC","Full-time
+1","We at Avestec are pioneering the future of aerial robotics to provide a quicker and safer alternative for industrial inspection. We are searching for a Full Stack Web Developer (minimum 20h/week) to assist us with the development of our proprietary web application, Avesoft, that is used to control and monitor devices onboard our UAVs as well as collect and report data. The successful candidate will be responsible for implementing bug-fixes, improvements, and new features for Avesoft.
Required Qualifications:
?? Pursuing or completed a Bachelor of Computer Science/Engineering or equivalent.
?? Strong experience developing within a Linux environment using the command-line.
?? Experience using version control (Git, Bitbucket)
?? Experience with front-end development using JavaScript (VanillaJS)
?? Experience with back-end development using Python (Django)
?? Experience with SQL databases (PostgreSQL)
?? Experience with wireless network configuration (WiFi, sub-GHz)
Bonus Qualifications:
?? Experience with video streaming tools (Janus, WebRTC)
?? Experience with message brokers (RabbitMQ)
?? Experience using TeamViewer for remote access
Job Types: Full-time, Fixed term contract
Contract length: 6 months
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Ability to commute/relocate:
Burnaby, BC: reliably commute or plan to relocate before starting work (required)
Application question(s):
What is your legal status in Canada (Work Permit/PR/Citizen)?
what is your current residence city?
Work Location: In person"
"Remote in Vancouver, BC","$73,000-$92,000 a year","The Role
We are looking for talented front-end/full-stack developers with a winning combination of passion, skills, experience and dedication to join our team and work on our existing products as well as our next-generation, career-defining product that users will rave about. As a software developer in our company, you will not just be involved in all aspects of the software development process, but also be encouraged to provide input on future projects, code processes and company direction. You will also be making heavy use of the latest & greatest technologies, so a craving for learning new things is a must.

What are some examples of work done at Apryse?
Maintain existing and write high-quality, efficient and testable code that supports many client platforms (web, mobile).
Solve technical problems and contribute to building our comprehensive document PDF SDK.
Our WebViewer showcase (https://showcase.apryse.com) and UI highlights our newest features and use cases for prospective customers.
Our open source WebViewer UI https://github.com/PDFTron/webviewer-ui
Customer experience is paramount to us. We regularly collaborate with software developers, project and product owners, UI/UX, support, sales, and solution engineer teams to design new features and improve user experience.
Our customers are other developers, so we research and utilize the latest technologies, write concise technical documentation and informative blogs.

Take a look at what our Web Team Lead has to say about his team! https://apryse.com/blog/culture/employee-spot...

Requirements
Passionate about web or mobile development and shipping apps that are used daily by millions of users.
JavaScript expertise and up-to-date with the latest trends (e.g. ES6/7, CSS3, React/Angular, NPM/Yarn, Webpack/Parcel, responsive web design, etc.).
Portfolio (GitHub or technical blogs) and experience building, debugging and testing complex systems in a team environment.
Experience with API creation/integration
Strong verbal and written communication skills.
Likes working with a team, but not being micromanaged.
Takes pride in ownership; entrepreneurial.
Experienced with agile and lean development methodologies.
Strong aptitude for new product development.
Practices automation, continuous integration, and rapid iteration based on user feedback.
Interest in technical and product strategy shaping everything we do.

Assets
Experience with backend (Node.js, PHP, etc).
Experience with databases (NoSQL or SQL).
C++/Java and other languages.
Experience with mobile applications (Android / iOS).

Benefits:
Competitive salary commensurate with experience & qualifications.
A comprehensive extended benefits package including health, dental and vision for you and your family that starts from day one.
A great team environment and resources, supporting you to do the best work of your life and providing unlimited career growth potential.
Highly autonomous and entrepreneurial environment.
Bi-weekly lunches and monthly socials.
Annual recurring WFH allowance for you to purchase items you need for your home office.
On going support for learning development so you can master your craft.
Work with the hardware you're most comfortable with (Windows or Mac)
Diverse and inclusive workplace where we all learn from each other.
Excellent work-life balance with a flexible remote work environment.
Company Description
Apryse is the industry-leading provider of document software development (SDK) technology powering everything from traditional desktop software to innovative web and mobile applications. With a broad international portfolio of combined companies, products, and leading technologies, we are actively changing the way the world works with documents to make work better and life simpler.
We are also a fast-growing company, chosen as one of Canada's Top Small & Medium Employers of 2022 by Mediacorp Canada Inc and selected among Canada-s best employers for recent graduates with its addition to the 2022 Career Directory.
Since having secured a $95M strategic growth investment in 2019, we have grown from approximately 50 employees to over 370, made eleven acquisitions, and in 2021, Thoma Bravo, the top private investment firm in the world for software, came on board with another strategic growth investment.
Customers like IBM, Autodesk, DocuSign, Boeing, Microsoft (and many more!) come to us to realize their web and mobile strategies for document management, editing, and collaboration as the #1-ranked commercial document SDK of choice for companies worldwide. As a result, you can find our document technology in thousands of solutions, including those of household names, used by millions across virtually every industry. Our XODO app alone has 25M unique installs - and counting - and the highest ratings among PDF productivity apps on the largest online app marketplaces.
Internally, we foster an atmosphere of opportunity, growth, and success for every individual amidst an exciting and challenging entrepreneurial culture. Career progression is based on merit, not tenure. Every member of our vibrant team is empowered to be a contributor, innovator, and successful leader.
Ready to join our team?
If you are interested in helping Apryse deliver on its commitments and taking your career to the next level, we invite you to apply online now.
Please note that due to the high volume of applications received, only short-listed candidates will be contacted.
We are proud to be an equal opportunity workplace committed to building a team culture that celebrates diversity and inclusion.
Thank you for your interest in Apryse!"
"Burnaby, BC",Full-time,"We are looking for a highly motivated individual who can thrive in a fast pace environment and successfully contribute to the team. The ideal candidate will have a can-do attitude, passion for technology, extensive development experience, and will be able to learn quickly.
Job Responsibilities:
Create, code and implement web-based user interfaces for FortiManager/FortiAnalyzer.
Write reusable code and libraries for both server and front-end codes(full stack).
Enhance and optimize web user interface for best performance and scalability.
Collaborate with graphic designers and backend development teams to construct and implement the front-end interfaces.
Bridge the gap between technical implementation and customers- scenarios, always pay attention to useability details.
Self-test completed features before passing job to release QA team.
Job skills required:
Proficient with one or multiple JavaScript framework/libraries such as React, Redux, JQuery, AngularJS, VueJS etc.
Expertise in HTML5, CSS3, Bootstrap.
Hands-on coding experience with Python or C++
Strong analysis, problem-solving and troubleshooting skills.
A collaborative personality, highly responsible and enjoy working in a team-oriented environment.
Educational Requirements:
Bachelor's degree in computer science or equivalent experience.
#GD
#LI-LO1"
"Surrey, BC",$33 an hour,"Education: Bachelor's degree
Experience: 1 to less than 7 months
Tasks
Consult with clients to develop and document Website requirements
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Work conditions and physical capabilities
Fast-paced environment
Tight deadlines
Attention to detail
Work Term: Permanent
Work Language: English
Hours: 35 hours per week"
"Abbotsford, BC","$88,637-$101,100 a year","Posting Title
IS 27 - Full Stack Developer - AMENDED
Position Classification
Information Systems R27
Union
GEU
Work Options
Location
Abbotsford, BC V2S 1H4 CA
Burnaby, BC V3J 1N3 CA
Coquitlam, BC V3K 7B9 CA
Fort St John, BC V1J6M7 CA
Kamloops, BC V2H 1B7 CA
Kelowna, BC V1Z 2S9 CA
Multiple Locations, BC CA (Primary)
Nanaimo, BC V9T 6L8 CA
Prince George, BC V2N4P7 CA
Surrey, BC V4P 1M5 CA
Vancouver, BC V6B 0N8 CA
Victoria, BC V9B 6X2 CA
Salary Range
$88,636.83- $101,099.95 annually which includes a 9.9% Temporary Market Adjustment
Close Date
8/27/2023
Job Type
Regular Full Time
Temporary End Date
Ministry/Organization
BC Public Service -> Citizens' Services
Ministry Branch / Division
Exchange Lab
Job Summary
Amended on August 16th, to reflect accurate positions available. One position for the Ministry of Citizens Services has been removed. Please refer to 'Current Available Positions' at the bottom of this page.
Competition Information

There are multiple positions available, see more details about each of the teams. A cross-ministry eligibility list may also be established to fill future permanent vacancies in multiple ministries and locations within British Columbia, some may have remote work/hybrid options.
Positions will be offered in the rank order of successful candidates, considering preferred skillset, ministry, and location preferences selected by the applicants during the hiring process. An applicant-s preferences will be considered but cannot be guaranteed.
Job Requirements
Education:
An equivalent combination of education and/or experience may be considered.
Degree in Computer Science, Engineering, or related technical field, with a minimum three (3) years of *related experience; OR
Diploma in Computer Science, Engineering, or related technical field, with a minimum four (4) years of *related experience; OR
Certification(s) in Computer Science, Engineering, or related technical field, with a minimum five (5) years of *related experience
Experience
Related experience must include the minimum number of years as listed above in EACH of the following:
Experience designing and developing digital products and services
Experience in front-end & back-end development
Experience with Agile development and working as part of an Agile development team
Knowledge, Skills and Abilities
A combination of skills, tools and knowledge will be considered for this role, such as:
Front-end
Front-end languages and/or frameworks
Markup and styling languages for web development
Version Control Systems
Responsive Design
Back-end
Back-end languages and/or frameworks
Databases
Containerization
Cloud Platforms
Continuous Integration/Deployment
API Development
Authentication/Authorization
Secure code development
Debugging and Troubleshooting
Preference may be given to candidates with experience in any of the following:
Next.js
GraphQL
AWS
Splunk
Red Hat Quarkus
Springboot
FastAPI
Bash
Typescript
React
Experience operating on a cross-functional product team
For questions regarding these positions, please contact Digital.Talent@gov.bc.ca
Learn more about the benefits of working for BC Public Service:
Compensation Package
Flexible work arrangements, including flex days
Professional development opportunities
Temporary Market Adjustment
What to expect from the application process
Submitting your resume. You must include your education, employment history including start and end dates (month & year), and any relevant information. See our resume help page.
Skills assessment. A timed technical challenge will be sent to candidates who successfully screen in.
Interview. Candidates who pass the technical challenge will have a behavioral interview with a hiring panel.
Options for getting more help:
For more details about these opportunities, see the attached job profile or contact Digital.Talent@gov.bc.ca. Do not send your application to this email.
If you-re experiencing difficulty applying, email BCPSA.HiringCentre@gov.bc.ca before the posting closing time.
If you are an Indigenous applicant, review some of the service offerings from the Indigenous Applicant Advisory Service
BC Government application requirements:
Successful criminal record check. May include criminal records check and/or Criminal Records Review Act (CRRA) check. Enhanced screening may be required by the ministry
Job Category
Information Management/Information Technology"
"Vancouver, BC",$29 an hour,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years
Experience: Experience an asset
or equivalent experience
Tasks
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Identify and communicate technical problems, processes and solutions
Work Term: Permanent
Work Language: English
Hours: 30 to 35 hours per week"
"Vancouver, BC","$45,000-$85,000 a year","Advanced knowledge of React/Node based Javascript Framework(s) is a must
Working knowledge of at least 1 headless CMS framework is a must
6+ years professional Typescript experience
6+ years professional Javascript experience
6+ years professional CSS experience
6+ years professional HTML experience
Experience with Figma, and Adobe Suite is preferred
WaveBI is adding a new front end developer to our growing team. Your passion for front end development and keen eye for design are your most valuable assets. You have strong knowledge of UI development, and enjoy creating an amazing UX that is better than your peers can do. You are confident in what you do, and have the ability to solve problems independently. You love what you do and are result driven.
Sound like you?
We want to know more. Send us your resume and CV today!
Job Type: Full-time
Salary: $45,000.00-$85,000.00 per year
Benefits:
On-site gym
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
CSS: 6 years (required)
HTML5: 6 years (required)
JavaScript: 6 years (required)
Headless CMS: 1 year (required)
Shift availability:
Day Shift (required)
Work Location: In person"
"Hybrid remote in Vancouver, BC",$25-$35 an hour,"Web Developer
Confidential is a fast-growing, full-service digital marketing agency based in Vancouver, BC. We are a team of experienced, passionate, and creative individuals who are dedicated to helping our clients grow their business online. Web Developer
We are looking for an experienced Web Developer to join our growing team. The ideal candidate will have a passion for building web applications and will be able to work independently as well as part of a team. You should be familiar with Wordpress, HTML, CSS, JavaScript, and backend database administration. The goal is to build web applications that meet our clients- needs by using best practices and technologies.
Duties and Responsibilities:
Design and develop websites using HTML, CSS, JavaScript, Wordpress and other front-end technologies
Build responsive websites
Write clean code using JavaScript and HTML5 Boilerplate
Create dynamic content using JQuery UI
Implement Ajax-based websites using JQuery and HTML5 Boilerplate
Create dynamic content using JQuery UI
Design user interfaces using CSS3
Maintain website by updating information on website pages with data from database or other sources (e.g., Google Analytics)
Test website by conducting functional/functional and unit/integration tests to ensure quality of website functionality
Manage project timelines by keeping project documentation up to date and ensuring deliverables meet requirements. This includes maintaining project documentation in the company-s project management system.
Education/Experience: Bachelor-s degree in Computer Science or related field or equivalent work experience in Web Development; at least 3 years of experience developing web applications; at least 2 years of experience working in a web development firm; knowledge of web development principles such as clean code, responsive design, progressive enhancement, test-driven development, etc.; knowledge of database administration principles such as SQL; knowledge of JavaScript frameworks such as jQuery; knowledge of HTML/CSS standards such as W3C specifications; knowledge of server-side technologies such as PHP/MySQL or Python/Rails).
Work Remotely - Hybrid
Job Type: Full-time
Salary: $25.00-$35.00 per hour
Benefits:
Casual dress
Dental care
Disability insurance
Employee assistance program
Extended health care
Paid time off
RRSP match
Vision care
Work from home
Flexible Language Requirement:
French not required
Schedule:
Monday to Friday
Ability to commute/relocate:
Vancouver, BC V5Y 1R3: reliably commute or plan to relocate before starting work (required)
Education:
AEC / DEP or Skilled Trade Certificate (required)
Language:
English (preferred)
Work Location: Hybrid remote in Vancouver, BC V5Y 1R3"
